id,regionname,countryname,prodline,lendinginstr,lendinginstrtype,envassesmentcategorycode,supplementprojectflg,productlinetype,projectstatusdisplay,sector1
P113308,Africa,Somali Democratic Republic;Somali Democratic Republic,RE,Emergency Recovery Loan,IN,C,N,L,Closed,Social Protection!$!100!$!SA
P092062,Africa,Republic of Senegal;Republic of Senegal,GE,Specific Investment Loan,IN,B,Y,L,Closed,Other Agriculture; Fishing and Forestry!$!80!$!AZ
P096840,Europe and Central Asia,Republic of Turkey;Republic of Turkey,PE,Development Policy Lending,AD,0,N,L,Closed,Other Industry; Trade and Services!$!66!$!YZ
P105881,Africa,Republic of Senegal;Republic of Senegal,PE,Specific Investment Loan,IN,B,N,L,Closed,Other Agriculture; Fishing and Forestry!$!80!$!AZ
P106641,Latin America and Caribbean,Republic of Panama;Republic of Panama,PE,Development Policy Lending,AD,0,N,L,Closed,Central Government (Central Agencies)!$!50!$!BC
P106855,Africa,Federal Democratic Republic of Ethiopia;Federal Democratic Republic of Ethiopia,PE,Adaptable Program Loan,IN,C,N,L,Closed,Primary Education!$!46!$!EP
P109024,East Asia and Pacific,Republic of Indonesia;Republic of Indonesia,RE,Emergency Recovery Loan,IN,B,N,L,Closed,Other Agriculture; Fishing and Forestry!$!44!$!AZ
P110092,Latin America and Caribbean,Republic of Nicaragua;Republic of Nicaragua,PE,Specific Investment Loan,IN,B,N,L,Closed,Water Supply!$!50!$!WC
P113134,Africa,Republic of Madagascar;Republic of Madagascar,PE,Emergency Recovery Loan,IN,B,N,L,Closed,Social Protection!$!31!$!SA
P104340,East Asia and Pacific,Democratic Republic of Timor-Leste;Democratic Republic of Timor-Leste,RE,Specific Investment Loan,IN,C,N,L,Closed,Primary Education!$!100!$!EP
P099139,Latin America and Caribbean,Republic of Colombia;Republic of Colombia,PE,Specific Investment Loan,IN,C,N,L,Closed,Central Government (Central Agencies)!$!96!$!BC
P109775,Africa,Republic of Liberia;Republic of Liberia,RE,Emergency Recovery Loan,IN,C,N,L,Closed,Central Government (Central Agencies)!$!100!$!BC
P112778,Europe and Central Asia,Europe and Central Asia;Europe and Central Asia,RE,Technical Assistance Loan,IN,C,N,L,Closed,Forestry!$!70!$!AT
P102365,Europe and Central Asia,Republic of Croatia;Republic of Croatia,PE,Investment Project Financing,IN,A,N,L,Active,Ports/Waterways!$!93!$!TP
P102395,Europe and Central Asia,Republic of Croatia;Republic of Croatia,GE,Adaptable Program Loan,IN,F,Y,L,Closed,Sanitation!$!88!$!WA
P102732,Europe and Central Asia,Republic of Croatia;Republic of Croatia,PE,Adaptable Program Loan,IN,F,N,L,Closed,Sanitation!$!92!$!WA
P106528,Latin America and Caribbean,United Mexican States;United Mexican States,PE,Technical Assistance Loan,IN,C,N,L,Closed,Central Government (Central Agencies)!$!100!$!BC
P115474,East Asia and Pacific,Socialist Republic of Vietnam;Socialist Republic of Vietnam,RE,Technical Assistance Loan,IN,C,N,L,Closed,Other Water Supply; Sanitation and Waste Management!$!35!$!WZ
P113156,Africa,Federal Democratic Republic of Ethiopia;Federal Democratic Republic of Ethiopia,PE,Emergency Recovery Loan,IN,B,N,L,Closed,Crops!$!99!$!AH
P113492,East Asia and Pacific,Republic of the Philippines;Republic of the Philippines,PE,Development Policy Lending,AD,0,N,L,Closed,Social Protection!$!89!$!SA
P114683,Africa,Federal Democratic Republic of Ethiopia;Federal Democratic Republic of Ethiopia,PE,Adaptable Program Loan,IN,B,Y,L,Closed,Social Protection!$!100!$!SA
P106906,Europe and Central Asia,Montenegro;Montenegro,PE,Specific Investment Loan,IN,B,N,L,Closed,Sub-National Government!$!30!$!BH
P107992,Europe and Central Asia,Montenegro;Montenegro,PE,Investment Project Financing,IN,B,N,L,Closed,Other Energy and Extractives!$!92!$!LZ
P110191,East Asia and Pacific,Republic of Indonesia;Republic of Indonesia,PE,Development Policy Lending,AD,0,N,L,Closed,Central Government (Central Agencies)!$!50!$!BC
P111905,East Asia and Pacific,Republic of Indonesia;Republic of Indonesia,PE,Development Policy Lending,AD,0,N,L,Closed,Other Water Supply; Sanitation and Waste Management!$!32!$!WZ
P112949,Europe and Central Asia,Republic of Turkey;Republic of Turkey,PE,Financial Intermediary Loan,IN,F,Y,L,Closed,Banking Institutions!$!75!$!FA
P115037,Other,World;World,RE,Technical Assistance Loan,IN,C,N,L,Closed,Fisheries!$!50!$!AF
P125269,Latin America and Caribbean,Republic of Honduras;Republic of Honduras,RE,Technical Assistance Loan,IN,C,N,L,Closed,Other Public Administration!$!100!$!BZ
P099833,Africa,Africa;Africa,PE,Specific Investment Loan,IN,C,N,L,Closed,Other Non-bank Financial Institutions!$!36!$!FL
P110954,Middle East and North Africa,Hashemite Kingdom of Jordan;Hashemite Kingdom of Jordan,PE,Specific Investment Loan,IN,A,Y,L,Closed,Rural and Inter-Urban Roads!$!90!$!TI
P112684,Africa,Western Africa;Western Africa,RE,Investment Project Financing,IN,B,N,L,Active,Agricultural Extension; Research; and Other Support Activities!$!80!$!AB
P113342,Latin America and Caribbean,Grenada;Grenada,PE,Adaptable Program Loan,IN,C,Y,L,Closed,Secondary Education!$!80!$!ES
P116120,Africa,Republic of Cote d'Ivoire;Republic of Cote d'Ivoire,RE,Technical Assistance Loan,IN,C,N,L,Closed,Micro- and SME finance!$!75!$!FE
P116367,Africa,Republic of Guinea-Bissau;Republic of Guinea-Bissau,RE,Technical Assistance Loan,IN,C,N,L,Closed,Central Government (Central Agencies)!$!50!$!BC
P105389,Latin America and Caribbean,Federative Republic of Brazil;Federative Republic of Brazil,CN,0,0,B,0,L,Closed,Waste Management!$!100!$!WB
P093988,South Asia,People's Republic of Bangladesh;People's Republic of Bangladesh,PE,Specific Investment Loan,IN,B,N,L,Closed,Sanitation!$!37!$!WA
P096556,East Asia and Pacific,People's Republic of China;People's Republic of China,PE,Specific Investment Loan,IN,B,N,L,Closed,Crops!$!18!$!AH
P101156,East Asia and Pacific,Kingdom of Cambodia;Kingdom of Cambodia,PE,Specific Investment Loan,IN,B,N,L,Closed,Law and Justice!$!30!$!BG
P112725,Other,World;World,RE,Technical Assistance Loan,IN,C,N,L,Closed,Other Information and Communications Technologies!$!100!$!CZ
P101392,Europe and Central Asia,Kyrgyz Republic;Kyrgyz Republic,PE,Emergency Recovery Loan,IN,B,N,L,Closed,Other Energy and Extractives!$!100!$!LZ
P104752,Latin America and Caribbean,Federative Republic of Brazil;Federative Republic of Brazil,PE,Specific Investment Loan,IN,B,N,L,Closed,Other Agriculture; Fishing and Forestry!$!70!$!AZ
P107998,Europe and Central Asia,Bosnia and Herzegovina;Bosnia and Herzegovina,PE,Investment Project Financing,IN,B,N,L,Closed,Waste Management!$!90!$!WB
P114936,Latin America and Caribbean,Republic of Haiti;Republic of Haiti,RE,Specific Investment Loan,IN,B,N,L,Closed,Water Supply!$!90!$!WC
P104405,Africa,Federal Republic of Nigeria;Federal Republic of Nigeria,RE,Specific Investment Loan,IN,U,N,L,Closed,Insurance and Pension!$!83!$!FD
P112723,Other,World;World,RE,Technical Assistance Loan,IN,C,N,L,Closed,Other Information and Communications Technologies!$!100!$!CZ
P094233,Latin America and Caribbean,Federative Republic of Brazil;Federative Republic of Brazil,GE,Specific Investment Loan,IN,B,N,L,Closed,Other Agriculture; Fishing and Forestry!$!72!$!AZ
P109333,Africa,Republic of Namibia;Republic of Namibia,PE,Development Policy Lending,AD,0,N,L,Closed,Secondary Education!$!40!$!ES
P114292,Latin America and Caribbean,Republic of Haiti;Republic of Haiti,PE,Emergency Recovery Loan,IN,B,N,L,Closed,Rural and Inter-Urban Roads!$!62!$!TI
P112727,Other,World;World,RE,Technical Assistance Loan,IN,C,N,L,Closed,Other Information and Communications Technologies!$!100!$!CZ
P113117,Middle East and North Africa,West Bank and Gaza;West Bank and Gaza,SF,Emergency Recovery Loan,IN,C,Y,L,Closed,Social Protection!$!100!$!SA
P105651,Africa,Federal Democratic Republic of Ethiopia;Federal Democratic Republic of Ethiopia,RE,Specific Investment Loan,IN,B,N,L,Closed,Power!$!100!$!LD
P110498,Latin America and Caribbean,Argentine Republic;Argentine Republic,PE,Specific Investment Loan,IN,B,Y,L,Closed,Renewable Energy Biomass!$!23!$!LB
P112230,Africa,Central African Republic;Central African Republic,RE,Technical Assistance Loan,IN,C,N,L,Closed,Media!$!100!$!CB
P113978,Europe and Central Asia,Republic of Albania;Republic of Albania,RE,Learning and Innovation Loan,IN,C,N,L,Closed,Workforce Development and Vocational Education!$!100!$!EW
P129983,East Asia and Pacific,Socialist Republic of Vietnam;Socialist Republic of Vietnam,RE,Specific Investment Loan,IN,C,N,L,Closed,Primary Education!$!60!$!EP
P088887,Africa,Republic of Madagascar;Republic of Madagascar,GE,Specific Investment Loan,IN,A,Y,L,Closed,Irrigation and Drainage!$!41!$!AI
P111272,South Asia,People's Republic of Bangladesh;People's Republic of Bangladesh,PE,Investment Project Financing,IN,B,N,L,Active,Public Administration - Water; Sanitation and Waste Management!$!29!$!WF
P112258,Latin America and Caribbean,United Mexican States;United Mexican States,PE,Specific Investment Loan,IN,C,N,L,Closed,Banking Institutions!$!50!$!FA
P117074,Africa,Somali Democratic Republic;Somali Democratic Republic,RE,Technical Assistance Loan,IN,F,N,L,Closed,Public Administration - Financial Sector!$!100!$!FP
P111414,Middle East and North Africa,Republic of Yemen;Republic of Yemen,RE,Emergency Recovery Loan,IN,B,N,L,Closed,Agricultural Extension; Research; and Other Support Activities!$!50!$!AB
P100657,Europe and Central Asia,Republic of Bulgaria;Republic of Bulgaria,PE,Specific Investment Loan,IN,F,N,L,Closed,Social Protection!$!62!$!SA
P102160,Europe and Central Asia,Republic of Bulgaria;Republic of Bulgaria,PE,Development Policy Lending,AD,0,N,L,Closed,Other Education!$!40!$!EZ
P107313,Africa,Republic of Mozambique;Republic of Mozambique,PE,Development Policy Lending,AD,0,N,L,Closed,Central Government (Central Agencies)!$!46!$!BC
P112327,Latin America and Caribbean,United Mexican States;United Mexican States,GE,Specific Investment Loan,IN,B,Y,L,Closed,Forestry!$!100!$!AT
P114008,Latin America and Caribbean,Argentine Republic;Argentine Republic,GE,Adaptable Program Loan,IN,B,N,L,Closed,Public Administration - Transportation!$!63!$!TF
P114685,Latin America and Caribbean,Latin America;Latin America,RE,Technical Assistance Loan,IN,C,N,L,Closed,Central Government (Central Agencies)!$!100!$!BC
P115044,South Asia,Islamic Republic of Pakistan;Islamic Republic of Pakistan,RE,Technical Assistance Loan,IN,C,N,L,Closed,ICT Services!$!50!$!CS
P088759,East Asia and Pacific,Socialist Republic of Vietnam;Socialist Republic of Vietnam,PE,Investment Project Financing,IN,C,N,L,Closed,Banking Institutions!$!60!$!FA
P095965,South Asia,People's Republic of Bangladesh;People's Republic of Bangladesh,PE,Investment Project Financing,IN,A,N,L,Active,Non-Renewable Energy Generation!$!56!$!LN
P107610,Europe and Central Asia,Georgia;Georgia,PE,Specific Investment Loan,IN,A,Y,L,Closed,Rural and Inter-Urban Roads!$!100!$!TI
P107614,Europe and Central Asia,Republic of Armenia;Republic of Armenia,PE,Specific Investment Loan,IN,F,Y,L,Closed,Water Supply!$!80!$!WC
P111304,Africa,Republic of Guinea;Republic of Guinea,PE,Specific Investment Loan,IN,C,Y,L,Closed,Primary Education!$!47!$!EP
P112321,Africa,Central African Republic;Central African Republic,RE,Specific Investment Loan,IN,C,N,L,Closed,Other Education!$!100!$!EZ
P114943,Africa,Republic of Guinea;Republic of Guinea,RE,Investment Project Financing,IN,C,N,L,Active,Renewable Energy Biomass!$!100!$!LB
P112761,South Asia,People's Republic of Bangladesh;People's Republic of Bangladesh,PE,Development Policy Lending,AD,0,N,L,Closed,Central Government (Central Agencies)!$!25!$!BC
P113374,Africa,Republic of Benin;Republic of Benin,SF,Emergency Recovery Loan,IN,B,N,L,Closed,Crops!$!94!$!AH
P112341,Other,World;World,RE,Technical Assistance Loan,IN,C,N,L,Closed,Other Industry; Trade and Services!$!100!$!YZ
P083172,Africa,Republic of Kenya;Republic of Kenya,GM,Specific Investment Loan,IN,C,N,L,Closed,Fisheries!$!50!$!AF
P096017,Latin America and Caribbean,Latin America;Latin America,GE,Adaptable Program Loan,IN,B,N,L,Closed,Public Administration - Transportation!$!100!$!TF
P101229,Africa,United Republic of Tanzania;United Republic of Tanzania,PE,Development Policy Lending,AD,0,N,L,Closed,Central Government (Central Agencies)!$!45!$!BC
P110616,Africa,Africa;Africa,RE,Technical Assistance Loan,IN,B,N,L,Closed,Public Administration - Water; Sanitation and Waste Management!$!100!$!WF
P111984,Africa,Republic of Madagascar;Republic of Madagascar,PE,Specific Investment Loan,IN,B,Y,L,Closed,Other Agriculture; Fishing and Forestry!$!40!$!AZ
P112064,Middle East and North Africa,Republic of Iraq;Republic of Iraq,RE,Emergency Recovery Loan,IN,B,Y,L,Closed,ICT Infrastructure!$!30!$!CI
P112312,Latin America and Caribbean,Republic of Guatemala;Republic of Guatemala,PE,Development Policy Lending,AD,0,N,L,Closed,Central Government (Central Agencies)!$!60!$!BC
P112798,South Asia,Republic of India;Republic of India,PE,Specific Investment Loan,IN,A,Y,L,Closed,Energy Transmission and Distribution!$!100!$!LT
P112852,Latin America and Caribbean,Republic of Colombia;Republic of Colombia,PE,Specific Investment Loan,IN,B,Y,L,Closed,Public Administration - Transportation!$!70!$!TF
P112357,East Asia and Pacific,Republic of Indonesia;Republic of Indonesia,RE,Specific Investment Loan,IN,A,N,L,Closed,Other Water Supply; Sanitation and Waste Management!$!74!$!WZ
P113544,Africa,Republic of Togo;Republic of Togo,SF,Emergency Recovery Loan,IN,B,Y,L,Closed,Crops!$!71!$!AH
P106341,Africa,Republic of Cote d'Ivoire;Republic of Cote d'Ivoire,RE,Technical Assistance Loan,IN,C,N,L,Closed,Oil and Gas!$!50!$!LC
P112632,East Asia and Pacific,Republic of Indonesia;Republic of Indonesia,RE,Specific Investment Loan,IN,B,N,L,Closed,Renewable energy!$!100!$!LE
P105617,Africa,Republic of Ghana;Republic of Ghana,RE,Specific Investment Loan,IN,C,N,L,Closed,Renewable Energy Biomass!$!25!$!LB
P102040,Africa,Republic of Sierra Leone;Republic of Sierra Leone,PE,Development Policy Lending,AD,0,N,L,Closed,Central Government (Central Agencies)!$!50!$!BC
P107661,East Asia and Pacific,Republic of Indonesia;Republic of Indonesia,PE,Specific Investment Loan,IN,C,N,L,Closed,Primary Education!$!70!$!EP
P114669,Europe and Central Asia,Georgia;Georgia,RE,Technical Assistance Loan,IN,C,N,L,Closed,Sub-National Government!$!100!$!BH
P112082,Latin America and Caribbean,United Mexican States;United Mexican States,RE,Technical Assistance Loan,IN,C,N,L,Closed,Other Transportation!$!60!$!TZ
P113586,Africa,Republic of South Sudan;Republic of South Sudan,SF,Emergency Recovery Loan,IN,B,N,L,Closed,Crops!$!60!$!AH
P095510,Latin America and Caribbean,United Mexican States;United Mexican States,PE,Development Policy Lending,AD,0,N,L,Closed,Other Agriculture; Fishing and Forestry!$!29!$!AZ
P110126,Europe and Central Asia,Georgia;Georgia,PE,Emergency Recovery Loan,IN,F,N,L,Closed,Water Supply!$!30!$!WC
P114167,Europe and Central Asia,Georgia;Georgia,PE,Development Policy Lending,AD,0,Y,L,Closed,Other Public Administration!$!40!$!BZ
P114318,Africa,Republic of Mozambique;Republic of Mozambique,RE,Technical Assistance Loan,IN,C,N,L,Closed,Other Energy and Extractives!$!100!$!LZ
P112960,Africa,Republic of South Africa;Republic of South Africa,RE,Technical Assistance Loan,IN,C,N,L,Closed,Other Energy and Extractives!$!25!$!LZ
P086669,Europe and Central Asia,Republic of Croatia;Republic of Croatia,PE,Specific Investment Loan,IN,B,N,L,Closed,Health!$!84!$!HG
P096023,South Asia,Republic of India;Republic of India,PE,Specific Investment Loan,IN,A,N,L,Closed,Rural and Inter-Urban Roads!$!95!$!TI
P100735,South Asia,Republic of India;Republic of India,PE,Specific Investment Loan,IN,B,N,L,Closed,Irrigation and Drainage!$!81!$!AI
P101190,Europe and Central Asia,Republic of Belarus;Republic of Belarus,PE,Investment Project Financing,IN,B,N,L,Active,Sanitation!$!53!$!WA
P104022,East Asia and Pacific,Republic of Indonesia;Republic of Indonesia,CN,0,0,B,N,L,Closed,Waste Management!$!100!$!WB
P104960,Middle East and North Africa,Hashemite Kingdom of Jordan;Hashemite Kingdom of Jordan,PE,Specific Investment Loan,IN,A,N,L,Closed,Waste Management!$!97!$!WB
P106369,Africa,Africa;Africa,PE,Adaptable Program Loan,IN,B,N,L,Closed,ICT Infrastructure!$!79!$!CI
P106765,Latin America and Caribbean,Federative Republic of Brazil;Federative Republic of Brazil,PE,Adaptable Program Loan,IN,B,N,L,Closed,Sub-National Government!$!20!$!BH
P110696,Africa,Federal Republic of Nigeria;Federal Republic of Nigeria,PE,Specific Investment Loan,IN,C,Y,L,Closed,Health!$!100!$!HG
P110697,Africa,Federal Republic of Nigeria;Federal Republic of Nigeria,PE,Specific Investment Loan,IN,B,Y,L,Closed,Health!$!88!$!HG
P114912,South Asia,Nepal;Nepal,PE,Specific Investment Loan,IN,B,Y,L,Active,Irrigation and Drainage!$!65!$!AI
P113002,South Asia,Nepal;Nepal,PE,Emergency Recovery Loan,IN,B,N,L,Closed,Social Protection!$!75!$!SA
P114893,East Asia and Pacific,Socialist Republic of Vietnam;Socialist Republic of Vietnam,GM,Specific Investment Loan,IN,0,N,L,Closed,Other Agriculture; Fishing and Forestry!$!100!$!AZ
P101988,East Asia and Pacific,People's Republic of China;People's Republic of China,PE,Specific Investment Loan,IN,A,N,L,Closed,Ports/Waterways!$!60!$!TP
P106684,Latin America and Caribbean,Argentine Republic;Argentine Republic,PE,Specific Investment Loan,IN,B,N,L,Closed,Irrigation and Drainage!$!20!$!AI
P106747,Latin America and Caribbean,Republic of Nicaragua;Republic of Nicaragua,PE,Development Policy Lending,AD,0,N,L,Closed,Central Government (Central Agencies)!$!33!$!BC
P106752,Latin America and Caribbean,Argentine Republic;Argentine Republic,PE,Investment Project Financing,IN,B,N,L,Active,Other Industry; Trade and Services!$!54!$!YZ
P099011,Africa,Burkina Faso;Burkina Faso,PE,Development Policy Lending,AD,0,N,L,Closed,Other Public Administration!$!38!$!BZ
P108885,East Asia and Pacific,Socialist Republic of Vietnam;Socialist Republic of Vietnam,PE,Specific Investment Loan,IN,B,N,L,Closed,Other Agriculture; Fishing and Forestry!$!32!$!AZ
P110614,Latin America and Caribbean,Federative Republic of Brazil;Federative Republic of Brazil,PE,Specific Investment Loan,IN,B,N,L,Closed,Other Agriculture; Fishing and Forestry!$!55!$!AZ
P111097,Africa,Republic of Uganda;Republic of Uganda,PE,Specific Investment Loan,IN,B,Y,L,Closed,Public Administration - Energy and Extractives!$!78!$!LP
P113468,Africa,Republic of Guinea-Bissau;Republic of Guinea-Bissau,SF,Emergency Recovery Loan,IN,B,N,L,Closed,Crops!$!60!$!AH
P113268,Africa,Republic of Guinea;Republic of Guinea,SF,Emergency Recovery Loan,IN,B,N,L,Closed,Crops!$!100!$!AH
P113608,Africa,Republic of Guinea;Republic of Guinea,SF,Emergency Recovery Loan,IN,B,Y,L,Closed,Other Transportation!$!60!$!TZ
P111926,Latin America and Caribbean,Republic of Costa Rica;Republic of Costa Rica,PE,Development Policy Lending,AD,0,N,L,Closed,Other Water Supply; Sanitation and Waste Management!$!84!$!WZ
P114407,East Asia and Pacific,Lao People's Democratic Republic;Lao People's Democratic Republic,RE,Technical Assistance Loan,IN,C,N,L,Closed,Power!$!100!$!LD
P102324,Europe and Central Asia,Russian Federation;Russian Federation,CN,0,0,B,N,L,Closed,Oil and Gas!$!100!$!LC
P112163,Europe and Central Asia,Europe and Central Asia;Europe and Central Asia,RE,Technical Assistance Loan,IN,C,N,L,Closed,Other Information and Communications Technologies!$!100!$!CZ
P099758,Africa,Republic of the Sudan;Republic of the Sudan,RE,Emergency Recovery Loan,IN,C,N,L,Closed,Central Government (Central Agencies)!$!100!$!BC
P107636,Middle East and North Africa,Republic of Yemen;Republic of Yemen,PE,Specific Investment Loan,IN,B,Y,L,Closed,Irrigation and Drainage!$!98!$!AI
P110571,Africa,Republic of Liberia;Republic of Liberia,RE,Specific Investment Loan,IN,C,N,L,Closed,Workforce Development and Vocational Education!$!70!$!EW
P109804,East Asia and Pacific,Republic of Indonesia;Republic of Indonesia,RE,Specific Investment Loan,IN,F,N,L,Closed,Micro- and SME finance!$!100!$!FE
P111839,Latin America and Caribbean,United Mexican States;United Mexican States,PE,Specific Investment Loan,IN,C,Y,L,Closed,Banking Institutions!$!75!$!FA
P111849,Middle East and North Africa,Lebanese Republic;Lebanese Republic,SF,Emergency Recovery Loan,IN,C,N,L,Closed,Public Administration - Social Protection!$!71!$!SG
P113218,Africa,Somali Democratic Republic;Somali Democratic Republic,SF,Emergency Recovery Loan,IN,B,N,L,Closed,Crops!$!33!$!AH
P111018,Africa,Republic of Mali;Republic of Mali,PE,Specific Investment Loan,IN,B,Y,L,Closed,Energy Transmission and Distribution!$!86!$!LT
P111366,Africa,Republic of Uganda;Republic of Uganda,PE,Specific Investment Loan,IN,C,Y,L,Closed,Waste Management!$!48!$!WB
P107167,Africa,Republic of Senegal;Republic of Senegal,CN,Investment Project Financing,IN,B,N,L,Active,Other Energy and Extractives!$!100!$!LZ
P115782,Africa,Republic of Sierra Leone;Republic of Sierra Leone,RE,Specific Investment Loan,IN,B,N,L,Closed,Primary Education!$!50!$!EP
P118405,Europe and Central Asia,Republic of Moldova;Republic of Moldova,RE,Specific Investment Loan,IN,C,N,L,Closed,Waste Management!$!30!$!WB
P102354,Africa,Republic of Niger;Republic of Niger,PE,Adaptable Program Loan,IN,B,N,L,Closed,Other Agriculture; Fishing and Forestry!$!36!$!AZ
P107841,Africa,Republic of Niger;Republic of Niger,GE,Adaptable Program Loan,IN,B,Y,L,Closed,Other Agriculture; Fishing and Forestry!$!80!$!AZ
P113529,East Asia and Pacific,Kingdom of Cambodia;Kingdom of Cambodia,RE,Technical Assistance Loan,IN,C,N,L,Closed,Social Protection!$!100!$!SA
P106652,South Asia,Islamic Republic of Pakistan;Islamic Republic of Pakistan,CN,0,0,B,N,L,Closed,Waste Management!$!100!$!WB
P113222,Africa,Republic of Niger;Republic of Niger,SF,Emergency Recovery Loan,IN,B,N,L,Closed,Crops!$!93!$!AH
P112052,Africa,Republic of Mozambique;Republic of Mozambique,RE,Specific Investment Loan,IN,B,N,L,Closed,Primary Education!$!34!$!EP
P113141,Africa,Republic of Sierra Leone;Republic of Sierra Leone,SF,Emergency Recovery Loan,IN,B,Y,L,Closed,Social Protection!$!100!$!SA
P113221,Africa,Central African Republic;Central African Republic,SF,Emergency Recovery Loan,IN,B,N,L,Closed,Social Protection!$!49!$!SA
P113224,Africa,Republic of Madagascar;Republic of Madagascar,SF,Development Policy Lending,AD,0,Y,L,Closed,Central Government (Central Agencies)!$!56!$!BC
P113232,Africa,Republic of Rwanda;Republic of Rwanda,SF,Development Policy Lending,AD,0,Y,L,Closed,Crops!$!100!$!AH
P113438,Africa,Republic of Burundi;Republic of Burundi,SF,Development Policy Lending,AD,0,N,L,Closed,Social Protection!$!66!$!SA
P110655,Latin America and Caribbean,Dominican Republic;Dominican Republic,RE,Emergency Recovery Loan,IN,C,N,L,Closed,Fisheries!$!45!$!AF
P112908,Europe and Central Asia,Republic of Moldova;Republic of Moldova,SF,Emergency Recovery Loan,IN,C,Y,L,Closed,Social Protection!$!70!$!SA
P106623,Latin America and Caribbean,Barbados;Barbados,PE,Specific Investment Loan,IN,C,N,L,Closed,Public Administration - Health!$!85!$!HF
P112023,Latin America and Caribbean,Republic of Honduras;Republic of Honduras,PE,Development Policy Lending,AD,0,Y,L,Closed,Other Non-bank Financial Institutions!$!41!$!FL
P113219,Africa,Republic of Sierra Leone;Republic of Sierra Leone,SF,Development Policy Lending,AD,0,N,L,Closed,Health!$!50!$!HG
P101590,Latin America and Caribbean,Republic of Peru;Republic of Peru,PE,Development Policy Lending,AD,0,N,L,Closed,Central Government (Central Agencies)!$!56!$!BC
P102508,Africa,Republic of Burundi;Republic of Burundi,PE,Development Policy Lending,AD,0,N,L,Closed,Central Government (Central Agencies)!$!60!$!BC
P106445,Latin America and Caribbean,Republic of Panama;Republic of Panama,PE,Specific Investment Loan,IN,B,N,L,Closed,Insurance and Pension!$!65!$!FD
P106686,Latin America and Caribbean,Republic of Panama;Republic of Panama,PE,Specific Investment Loan,IN,C,N,L,Closed,Primary Education!$!40!$!EP
P113199,South Asia,Islamic  Republic of Afghanistan;Islamic  Republic of Afghanistan,SF,Emergency Recovery Loan,IN,B,N,L,Closed,Irrigation and Drainage!$!100!$!AI
P113714,East Asia and Pacific,Republic of the Philippines;Republic of the Philippines,RE,Technical Assistance Loan,IN,C,N,L,Closed,Sub-National Government!$!85!$!BH
P089672,Africa,Islamic Republic of Mauritania;Islamic Republic of Mauritania,PE,Technical Assistance Loan,IN,C,N,L,Closed,Public Administration - Transportation!$!100!$!TF
P093478,South Asia,Republic of India;Republic of India,PE,Specific Investment Loan,IN,B,N,L,Closed,Other Agriculture; Fishing and Forestry!$!57!$!AZ
P093699,Africa,Republic of Angola;Republic of Angola,PE,Specific Investment Loan,IN,B,N,L,Closed,Other Agriculture; Fishing and Forestry!$!60!$!AZ
P094360,South Asia,Republic of India;Republic of India,PE,Specific Investment Loan,IN,B,N,L,Closed,Health!$!88!$!HG
P096360,Africa,Republic of Angola;Republic of Angola,PE,Investment Project Financing,IN,B,N,L,Active,Water Supply!$!65!$!WC
P105727,Europe and Central Asia,Republic of Tajikistan;Republic of Tajikistan,PE,Specific Investment Loan,IN,B,Y,L,Closed,Renewable Energy Hydro!$!100!$!LH
P106161,South Asia,People's Republic of Bangladesh;People's Republic of Bangladesh,PE,Investment Project Financing,IN,B,N,L,Closed,Secondary Education!$!92!$!ES
P106767,Latin America and Caribbean,Federative Republic of Brazil;Federative Republic of Brazil,PE,Development Policy Lending,AD,0,N,L,Closed,Sub-National Government!$!50!$!BH
P110462,Latin America and Caribbean,Argentine Republic;Argentine Republic,PE,Specific Investment Loan,IN,A,N,L,Closed,Mining!$!57!$!LM
P113637,Latin America and Caribbean,Federative Republic of Brazil;Federative Republic of Brazil,RE,Technical Assistance Loan,IN,C,N,L,Closed,Other Public Administration!$!100!$!BZ
P111470,Africa,Republic of Guinea;Republic of Guinea,RE,Specific Investment Loan,IN,B,N,L,Closed,Primary Education!$!38!$!EP
P096931,East Asia and Pacific,Kingdom of Tonga;Kingdom of Tonga,PE,Investment Project Financing,IN,B,N,L,Active,Aviation!$!45!$!TV
P109216,Africa,Republic of Uganda;Republic of Uganda,RE,Emergency Recovery Loan,IN,C,N,L,Closed,Social Protection!$!77!$!SA
P113426,Latin America and Caribbean,Republic of Costa Rica;Republic of Costa Rica,RE,Technical Assistance Loan,IN,C,N,L,Closed,Other Public Administration!$!40!$!BZ
P111511,Latin America and Caribbean,Federative Republic of Brazil;Federative Republic of Brazil,PE,Adaptable Program Loan,IN,B,Y,L,Closed,Urban Transport!$!58!$!TC
P111514,Latin America and Caribbean,Federative Republic of Brazil;Federative Republic of Brazil,PE,Adaptable Program Loan,IN,B,Y,L,Closed,Urban Transport!$!56!$!TC
P111940,Latin America and Caribbean,Federative Republic of Brazil;Federative Republic of Brazil,RN,0,0,C,N,L,Closed,Forestry!$!100!$!AT
P113188,South Asia,Republic of India;Republic of India,RE,Technical Assistance Loan,IN,C,N,L,Closed,Sub-National Government!$!39!$!BH
P114323,Europe and Central Asia,Kyrgyz Republic;Kyrgyz Republic,RE,Technical Assistance Loan,IN,C,N,L,Closed,Other Public Administration!$!100!$!BZ
P094315,Latin America and Caribbean,Federative Republic of Brazil;Federative Republic of Brazil,PE,Specific Investment Loan,IN,A,N,L,Closed,Other Water Supply; Sanitation and Waste Management!$!58!$!WZ
